# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1909
#@/user_id	b4d312a8-44fb-429c-b7a3-9b6b97ef9ed4
a 	啊	c=7 d=1.11359 t=1909
gan jue 	感覺	c=3 d=1.14108 t=1909
gang hao 	剛好	c=1 d=0.209088 t=1909
gao 	搞	c=2 d=0.634305 t=1909
gao le 	搞了	c=1 d=0.400517 t=1909
ge 	個	c=2 d=0.511334 t=1909
ge 	哥	c=2 d=0.403876 t=1909
ge shi 	格式	c=1 d=0.559898 t=1909
gei 	給	c=3 d=1.76633 t=1909
gei ni 	給你	c=1 d=0.810584 t=1909
gen sui 	跟隨	c=2 d=1.64858 t=1909
gen zhe 	跟着	c=1 d=0.15259 t=1909
gong cheng 	工程	c=9 d=2.76572 t=1909
gong ju 	工具	c=1 d=0.453845 t=1909
gong neng 	功能	c=1 d=0.755784 t=1909
gong si 	公司	c=7 d=2.35658 t=1909
gong wei 	工位	c=1 d=0.729789 t=1909
gu ge 	谷歌	c=1 d=0.336216 t=1909
gu gong 	故宮	c=1 d=0.511709 t=1909
gu shi 	故事	c=1 d=0.680451 t=1909
gua 	掛	c=1 d=0.0742736 t=1909
guan bi 	關閉	c=1 d=1 t=1909
guan dian 	觀點	c=3 d=0.184434 t=1909
guan jian ci 	關鍵詞	c=2 d=0.126985 t=1909
guan yu 	關於	c=1 d=0.970446 t=1909
gui ding 	規定	c=1 d=0.398519 t=1909
gui ze 	規則	c=1 d=0.579842 t=1909
guo 	過	c=1 d=0.118245 t=1909
guo chan 	國產	c=1 d=0.551563 t=1909
ha 	哈	c=0 d=0.0373439 t=1909
ha ha ha 	哈哈哈	c=3 d=1.78051 t=1909
ha ha ha ha 	哈哈哈哈	c=1 d=0.814647 t=1909
hai 	海	c=2 d=0.887979 t=1909
hai bao 	海報	c=1 d=0.737123 t=1909
hai mei 	還沒	c=1 d=0.66365 t=1909
hai nan 	海南	c=8 d=2.90096 t=1909
hai shi 	還是	c=3 d=1.20735 t=1909
hai you 	還有	c=3 d=0.856415 t=1909
han jie 	焊接	c=1 d=0.341298 t=1909
han shu 	函數	c=5 d=2.60949 t=1909
hang 	行	c=4 d=2.79504 t=1909
hang ju 	行距	c=1 d=0.470011 t=1909
hang ye 	行業	c=1 d=0.373439 t=1909
hao 	好	c=9 d=2.67904 t=1909
hao 	號	c=2 d=0.696733 t=1909
hao ba 	好吧	c=2 d=0.774916 t=1909
hao de 	好的	c=1 d=0.995012 t=1909
hao jia huo 	好傢伙	c=1 d=0.489192 t=1909
hao xiang 	好像	c=5 d=0.727377 t=1909
he 	合	c=1 d=0.228779 t=1909
he 	和	c=11 d=1.52377 t=1909
he 	核	c=1 d=0.170333 t=1909
he 	河	c=1 d=0.532592 t=1909
hen 	很	c=2 d=0.571209 t=1909
hen duo 	很多	c=1 d=0.268474 t=1909
hen gao 	很高	c=1 d=0.839457 t=1909
hen hao 	很好	c=2 d=0.891366 t=1909
hen qiang 	很強	c=1 d=0.255381 t=1909
hong yan 	鴻雁	c=1 d=0.666977 t=1909
hou 	後	c=1 d=0.310367 t=1909
hou mian 	後面	c=3 d=1.91685 t=1909
hou tai 	後臺	c=2 d=1.43787 t=1909
hua 	化	c=1 d=0.562705 t=1909
hua 	話	c=3 d=0.185629 t=1909
huan 	換	c=1 d=0.0913931 t=1909
huan chu 	喚出	c=1 d=0.718924 t=1909
hui 	會	c=7 d=2.59389 t=1909
hui 	輝	c=0 d=0.0267135 t=1909
ji 	及	c=0 d=0.0369723 t=1909
ji ben 	基本	c=3 d=0.99005 t=1909
ji cun qi 	寄存器	c=5 d=0.748264 t=1909
ji de 	記得	c=1 d=0.970446 t=1909
ji di qu 	及地區	c=1 d=0.371577 t=1909
ji diao 	基調	c=1 d=0.373439 t=1909
ji ge 	幾個	c=2 d=0.980199 t=1909
ji hua 	計劃	c=1 d=0.628135 t=1909
ji jing 	幾經	c=1 d=0.763379 t=1909
ji lu 	記錄	c=3 d=1.97675 t=1909
ji ou 	奇偶	c=0 d=0.0694197 t=1909
ji ou ca shi ni de 	奇偶擦拭你的	c=1 d=0.697676 t=1909
ji qi 	機器	c=2 d=0.629449 t=1909
ji san di 	集散地	c=0 d=0.0373439 t=1909
ji san di ha 	集散地哈	c=1 d=0.375311 t=1909
ji shu 	技術	c=1 d=0.548812 t=1909
ji xu 	繼續	c=1 d=0.511709 t=1909
ji yi 	記憶	c=1 d=0.980199 t=1909
jia 	加	c=3 d=1.84163 t=1909
jia 	家	c=1 d=0.201897 t=1909
jia ban 	加班	c=1 d=0.329559 t=1909
jia shang 	加上	c=1 d=0.172045 t=1909
jia zai 	加載	c=1 d=0.585669 t=1909
jian cao ping 	尖草坪	c=0 d=0.0697676 t=1909
jian cao ping shang dian 	尖草坪商店	c=1 d=0.701173 t=1909
jian ce 	檢測	c=2 d=0.188051 t=1909
jian cha 	檢查	c=1 d=0.680451 t=1909
jian dan 	簡單	c=1 d=0.535261 t=1909
jian jie 	簡介	c=1 d=0.814647 t=1909
jian jie 	簡潔	c=1 d=0.818731 t=1909
jian ju 	間距	c=1 d=0.83527 t=1909
jian qie ban 	剪切板	c=1 d=0.319819 t=1909
jiang 	將	c=4 d=1.73132 t=1909
jiao 	角	c=3 d=1.94292 t=1909
jiao ao 	驕傲	c=0 d=0.0369723 t=1909
jiao cheng 	教程	c=2 d=0.245367 t=1909
jiao shi 	教師	c=1 d=0.267135 t=1909
jiao shou 	教授	c=2 d=0.632222 t=1909
jie 	截	c=1 d=0.0497871 t=1909
jie 	解	c=2 d=0.537944 t=1909
jie guo 	結果	c=2 d=0.351783 t=1909
jie jue 	解決	c=4 d=2.16928 t=1909
jie mian 	界面	c=2 d=0.985112 t=1909
jie shao 	介紹	c=3 d=1.03985 t=1909
jin 	進	c=2 d=0.622446 t=1909
jin guo 	進過	c=1 d=0.802519 t=1909
jin nian 	今年	c=1 d=0.12493 t=1909
jin tian 	今天	c=1 d=0.701173 t=1909
jin xing 	進行	c=4 d=0.726653 t=1909
jin zhi 	進制	c=1 d=0.913931 t=1909
jing 	景	c=2 d=0.386139 t=1909
jing jian 	精簡	c=4 d=0.304667 t=1909
jing jian ban 	精簡版	c=1 d=0.106459 t=1909
jing li 	經歷	c=1 d=0.937067 t=1909
jing ran 	竟然	c=1 d=0.763379 t=1909
jing xiang 	鏡像	c=1 d=0.588605 t=1909
jiu 	就	c=8 d=1.05936 t=1909
jiu ou po 	就歐泊	c=1 d=0.869358 t=1909
jiu shi 	就是	c=14 d=3.55939 t=1909
jiu yong 	就用	c=1 d=0.0492917 t=1909
jiu zhi 	救治	c=2 d=0.98823 t=1909
ju 	據	c=0 d=0.0856415 t=1909
ju 	距	c=1 d=0.474734 t=1909
ju ci 	據此	c=0 d=0.0847894 t=1909
ju ci ou shi da an 	據此歐式答案	c=1 d=0.852144 t=1909
ju hui 	聚會	c=1 d=0.535261 t=1909
ju ou zhou 	據歐洲	c=1 d=0.860708 t=1909
ju ran 	居然	c=1 d=0.900325 t=1909
ju ti 	具體	c=2 d=1.16277 t=1909
ju you 	具有	c=1 d=0.83527 t=1909
ju zhong 	居中	c=3 d=1.75674 t=1909
jue ding 	決定	c=1 d=0.366045 t=1909
jue xing 	覺醒	c=1 d=0.444858 t=1909
ka zhu 	卡住	c=2 d=0.767206 t=1909
kai tou 	開頭	c=1 d=0.151072 t=1909
kan 	看	c=4 d=1.13208 t=1909
kan kan 	看看	c=1 d=0.606531 t=1909
kan le xia 	看了下	c=1 d=0.212248 t=1909
kan qi lai 	看起來	c=1 d=0.25284 t=1909
ke 	可	c=2 d=1.15441 t=1909
ke neng 	可能	c=1 d=0.345348 t=1909
ke neng ne ge 	可能呢個	c=1 d=0.522046 t=1909
ke yi 	可以	c=16 d=4.41278 t=1909
kong 	空	c=1 d=0.463013 t=1909
kong ge 	空格	c=1 d=0.744532 t=1909
kuai 	快	c=1 d=0.895834 t=1909
lai 	來	c=2 d=1.07337 t=1909
lan 	欄	c=1 d=0.486752 t=1909
lan ya 	藍牙	c=1 d=0.128093 t=1909
lao ban ben 	老版本	c=1 d=0.752014 t=1909
lao shi 	老師	c=1 d=0.540641 t=1909
le 	了	c=28 d=4.41036 t=1909
li 	裏	c=0 d=0.0995012 t=1909
li nu xing 	裏奴性	c=2 d=1 t=1909
li yong 	利用	c=0 d=0.0822835 t=1909
lian xu 	連續	c=1 d=0.932394 t=1909
liang ge 	兩個	c=5 d=0.769055 t=1909
liang zhong 	兩種	c=1 d=0.180866 t=1909
liao 	聊	c=2 d=0.947245 t=1909
lin shi 	臨時	c=1 d=0.755784 t=1909
ling 	令	c=1 d=0.101774 t=1909
liu 	留	c=1 d=0.181772 t=1909
lun tan 	論壇	c=1 d=0.666977 t=1909
lun wen 	論文	c=9 d=3.53313 t=1909
luo 	落	c=1 d=0.826959 t=1909
luo ji 	邏輯	c=1 d=0.0572688 t=1909
ma 	嗎	c=7 d=2.03278 t=1909
ma fan 	麻煩	c=1 d=0.99005 t=1909
ma ke 	馬克	c=1 d=0.873716 t=1909
mai bo 	脈搏	c=2 d=0.683861 t=1909
me 	麼	c=2 d=0.969083 t=1909
mei 	沒	c=3 d=1.45908 t=1909
mei ge 	每個	c=1 d=0.625002 t=1909
mei hua 	梅花	c=1 d=0.516851 t=1909
mei le 	沒了	c=2 d=1.84626 t=1909
mei ren 	沒人	c=1 d=0.806541 t=1909
mei yi tian 	每一天	c=1 d=0.506617 t=1909
mei you 	沒有	c=7 d=1.53564 t=1909
mei yu 	梅雨	c=0 d=0.0163654 t=1909
mei yu ou 	梅雨偶	c=1 d=0.164474 t=1909
mei yuan 	美元	c=1 d=0.149569 t=1909
men 	們	c=4 d=1.33658 t=1909
men 	門	c=2 d=1.2226 t=1909
meng 	夢	c=1 d=0.101266 t=1909
meng 	懵	c=1 d=0.782705 t=1909
mi ji 	密級	c=2 d=0.700226 t=1909
mi le lu 	迷了路	c=1 d=0.496585 t=1909
mian 	麪	c=1 d=0.351692 t=1909
mian xiang 	面向	c=1 d=0.249075 t=1909
ming cheng 	名稱	c=1 d=0.666977 t=1909
ming ling 	命令	c=1 d=0.951229 t=1909
ming ti 	命題	c=2 d=0.264669 t=1909
ming tian 	明天	c=6 d=2.84643 t=1909
ming yue 	明月	c=1 d=0.718924 t=1909
mo ban 	模板	c=5 d=2.07858 t=1909
mo kuai 	模塊	c=1 d=0.255381 t=1909
mo ni 	模擬	c=1 d=0.367879 t=1909
mou 	某	c=2 d=0.63406 t=1909
na 	那	c=1 d=0.603506 t=1909
na bian 	那邊	c=1 d=0.167797 t=1909
na ceng 	那層	c=1 d=0.416862 t=1909
na ge 	那個	c=1 d=0.474549 t=1909
na ji zhong 	哪幾種	c=1 d=0.0658748 t=1909
na jiu 	那就	c=0 d=0.0240508 t=1909
na jiu diao cha xian shi de 	那就調查顯示的	c=1 d=0.241714 t=1909
na ke yi 	那可以	c=1 d=0.600496 t=1909
na ning 	那寧	c=1 d=0.951229 t=1909
na ren 	那人	c=1 d=0.477114 t=1909
na wei 	那位	c=1 d=0.715338 t=1909
na wo 	拿我	c=1 d=0.147342 t=1909
na zhang 	那張	c=1 d=0.447088 t=1909
nan chang 	南昌	c=1 d=0.895834 t=1909
nan qiang 	南牆	c=1 d=0.843665 t=1909
ne 	呢	c=5 d=1.9302 t=1909
ne ge 	呢個	c=0 d=0.0519442 t=1909
nei 	內	c=1 d=0.540641 t=1909
nei bu 	內部	c=1 d=0.726149 t=1909
nei cun 	內存	c=3 d=1.17254 t=1909
nei he 	內核	c=2 d=0.198533 t=1909
nei rong 	內容	c=2 d=1.10078 t=1909
neng 	能	c=1 d=0.180866 t=1909
neng bu 	能不	c=1 d=0.650509 t=1909
ni 	你	c=17 d=4.3562 t=1909
ni de 	你的	c=0 d=0.0694197 t=1909
ni hao 	你好	c=2 d=1.71534 t=1909
ni me 	你麼	c=1 d=0.213312 t=1909
ni men 	你們	c=4 d=0.615697 t=1909
ni sa 	你撒	c=1 d=0.384812 t=1909
ni wen 	你問	c=1 d=0.856415 t=1909
ni zuo hao 	你做好	c=1 d=0.733447 t=1909
nian 	年	c=4 d=1.65222 t=1909
nian jia 	年假	c=1 d=0.315058 t=1909
nin 	您	c=1 d=0.955997 t=1909
nong 	弄	c=1 d=0.522046 t=1909
nong hao 	弄好	c=1 d=0.412714 t=1909
nu xing 	奴性	c=0 d=0.0995012 t=1909
o 	哦	c=1 d=0.704688 t=1909
ou 	偶	c=0 d=0.0163654 t=1909
ou feng 	歐風	c=1 d=0.357007 t=1909
ou niao 	鷗鳥	c=0 d=0.0822835 t=1909
ou niao li yong 	鷗鳥利用	c=1 d=0.826959 t=1909
ou po 	歐泊	c=0 d=0.0865022 t=1909
ou shi 	歐式	c=0 d=0.0847894 t=1909
ou zhou 	歐洲	c=0 d=0.0856415 t=1909
pai 	派	c=1 d=0.66365 t=1909
pai ban 	排版	c=1 d=0.232236 t=1909
pai xu 	排序	c=1 d=0.0578443 t=1909
pei yang 	培養	c=2 d=0.637464 t=1909
pei zhi 	配置	c=3 d=1.64606 t=1909
pi fu 	皮膚	c=2 d=1.94575 t=1909
pi pei 	匹配	c=2 d=0.831104 t=1909
pi shi nu 	毗溼奴	c=1 d=0.856415 t=1909
pian 	片	c=1 d=0.806541 t=1909
pian duan 	片段	c=1 d=0.683861 t=1909
pian shang 	偏上	c=0 d=0.025284 t=1909
pian shang 	片上	c=1 d=0.256661 t=1909
pian shang tiao shi 	偏上調試	c=1 d=0.254107 t=1909
pian zuo 	偏左	c=1 d=0.904837 t=1909
pin jie 	拼接	c=1 d=0.524663 t=1909
pin yin 	拼音	c=2 d=0.752722 t=1909
ping 	平	c=1 d=0.343009 t=1909
ping ti 	平替	c=1 d=0.344728 t=1909
po 	破	c=1 d=0.873716 t=1909
po chan 	破產	c=0 d=0.0843665 t=1909
po chan sa dan 	破產撒旦	c=1 d=0.847894 t=1909
qi 	器	c=1 d=0.729789 t=1909
qi shi 	其實	c=1 d=0.697676 t=1909
qian 	前	c=1 d=0.778801 t=1909
qian 	簽	c=1 d=0.19398 t=1909
qian ming 	簽名	c=1 d=0.882497 t=1909
qian nian 	前年	c=2 d=0.67032 t=1909
qiang 	搶	c=1 d=1 t=1909
qiang da 	強大	c=1 d=0.427415 t=1909
qiang piao 	強票	c=1 d=0.995012 t=1909
qie huan 	切換	c=0 d=0.0704688 t=1909
qie huan zi ti 	切換字體	c=1 d=0.70822 t=1909
qin shi 	寢室	c=1 d=0.442639 t=1909
qing 	請	c=1 d=0.810584 t=1909
qing chu 	清楚	c=1 d=0.574072 t=1909
qing chu 	清除	c=1 d=0.092089 t=1909
qing kong 	清空	c=1 d=0.161218 t=1909
qing kuang 	情況	c=2 d=0.647265 t=1909
qing ming 	清明	c=3 d=1.57139 t=1909
qing ni 	請你	c=1 d=0.0507928 t=1909
qiu zhi 	求值	c=4 d=0.951229 t=1909
qiu zhi 	求職	c=1 d=0.946485 t=1909
qu 	去	c=8 d=1.79148 t=1909
qu 	取	c=6 d=1.23806 t=1909
qu nian 	去年	c=3 d=0.932394 t=1909
quan 	全	c=0 d=0.00502874 t=1909
quan ju 	全局	c=1 d=0.554327 t=1909
quan shi 	全是	c=1 d=0.045275 t=1909
quan wen zi 	全文字	c=1 d=0.0505395 t=1909
que shi 	確實	c=2 d=0.736379 t=1909
ran hou 	然後	c=5 d=1.2977 t=1909
rang 	讓	c=1 d=0.499074 t=1909
ren 	人	c=3 d=0.985112 t=1909
ren jun bu jin 	忍俊不禁	c=1 d=0.767206 t=1909
ren sheng 	人生	c=2 d=1.02086 t=1909
ren ti 	人體	c=1 d=0.120633 t=1909
ren wu 	任務	c=2 d=1.27211 t=1909
ren yuan 	人員	c=1 d=0.729789 t=1909
ri 	日	c=1 d=0.873716 t=1909
ri qi 	日期	c=3 d=2.02428 t=1909
ru guo 	如果	c=2 d=1.57966 t=1909
ru he 	如何	c=10 d=4.16798 t=1909
ruan jian 	軟件	c=4 d=1.52477 t=1909
rui si xin ke 	睿思芯科	c=4 d=1.22979 t=1909
sa 	撒	c=1 d=0.843665 t=1909
sa dan 	撒旦	c=0 d=0.0843665 t=1909
san 	三	c=1 d=0.0724398 t=1909
san fang 	三方	c=1 d=0.194952 t=1909
san ge 	三個	c=1 d=0.138069 t=1909
san hao 	三號	c=1 d=0.408608 t=1909
san tian 	三天	c=1 d=0.794534 t=1909
san zhuang 	散裝	c=1 d=0.532592 t=1909
sha 	啥	c=3 d=0.860708 t=1909
shan chu 	刪除	c=2 d=0.818731 t=1909
shang 	上	c=14 d=3.26338 t=1909
shang ban 	上班	c=2 d=0.722527 t=1909
shang ci 	上次	c=1 d=0.162026 t=1909
shang dian 	商店	c=3 d=0.588605 t=1909
shang mian 	上面	c=1 d=0.414783 t=1909
she 	設	c=1 d=0.83527 t=1909
she ji 	設計	c=2 d=0.518487 t=1909
she zhi 	設置	c=17 d=6.44395 t=1909
shen du 	深度	c=2 d=0.96937 t=1909
shen me 	什麼	c=4 d=1.33916 t=1909
sheng 	生	c=2 d=0.594521 t=1909
sheng cheng 	生成	c=2 d=1.54899 t=1909
sheng lve hao 	省略號	c=1 d=0.946485 t=1909
sheng ming 	聲明	c=2 d=1.62362 t=1909
sheng xiao 	生效	c=1 d=0.965605 t=1909
shi 	事	c=1 d=0.913931 t=1909
shi 	是	c=22 d=5.53049 t=1909
shi bie 	識別	c=4 d=0.691703 t=1909
shi chang 	時長	c=1 d=0.637628 t=1909
shi de 	使得	c=1 d=0.474734 t=1909
shi de 	是的	c=2 d=0.22313 t=1909
shi duo nian 	十多年	c=1 d=0.2334 t=1909
shi hou 	時候	c=1 d=0.97531 t=1909
shi li 	實力	c=1 d=0.254107 t=1909
shi xi 	實習	c=1 d=0.173774 t=1909
shi xian 	實現	c=1 d=0.298197 t=1909
shi xiong 	師兄	c=7 d=1.23951 t=1909
shi yong 	使用	c=17 d=3.62012 t=1909
shi zhe 	試着	c=1 d=0.970446 t=1909
shou hang 	首航	c=0 d=0.0396531 t=1909
shou hang 	首行	c=1 d=0.402524 t=1909
shou hang shuo ju 	首航說句	c=1 d=0.398519 t=1909
shou shang 	手上	c=1 d=0.18452 t=1909
shu ju ku 	數據庫	c=0 d=0.0366045 t=1909
shu ru 	輸入	c=2 d=1.03486 t=1909
shu ru fa 	輸入法	c=7 d=3.65055 t=1909
shu zu 	數組	c=1 d=0.349938 t=1909
shuang ji 	雙擊	c=1 d=0.71177 t=1909
shui 	誰	c=3 d=0.938491 t=1909
shuo 	說	c=3 d=1.3437 t=1909
shuo de hao 	說得好	c=0 d=0.0369723 t=1909
shuo de hao jiao ao 	說得好驕傲	c=1 d=0.371577 t=1909
shuo ju 	說句	c=0 d=0.0396531 t=1909
shuo shi 	碩士	c=4 d=2.3189 t=1909
shuo yi 	說一	c=1 d=0.0471227 t=1909
